id,Name,Unit,Amount,netAmount,surcharge
1dcf2744-2603-4c11-81c8-f40ef8805e32,Andreas Edinburough,3683,7066.8,1060.02,8126.82
8f54f421-01ae-4d11-8ccb-9c9d8322c59f,Francklyn Veracruysse,3648,6996.8,1049.52,8046.32
3aa709b3-3dfe-4209-96c0-80833f07c06c,Bess Aysik,8215,16130.8,2419.62,18550.42
8b08e9b3-7ae3-4ba6-a7d1-a7f63c25b94d,Jessica Prevost,2160,4020.8,603.12,4623.92
e2b08820-ac0e-4189-9fe6-8076462586b2,Hew Jamme,6363,12426.8,1864.0199999999998,14290.82
22d44e2c-418b-489f-9837-daa55f9c0fb7,Sayres Ballefant,3887,7474.8,1121.22,8596.02
0626221f-68c5-490f-9bae-98d2513fc45e,Clair Stickel,5214,10128.8,1519.32,11648.119999999999
5f021b0d-3a2e-4b26-9f64-befde94c1035,Arielle Ary,7431,14562.8,2184.4199999999996,16747.219999999998
e228e1ed-9dec-4b3b-b97a-a4bf5e37bc2c,Todd Menelaws,3700,7100.8,1065.12,8165.92
675ad311-8451-4df7-a145-2831c66405df,Aleen Buff,3411,6522.8,978.42,7501.22
68a0abb8-7990-4933-b111-3150b2de2fe4,Drucie Benoi,8900,17500.8,2625.12,20125.92
46e6c458-f391-40c4-8f47-c2f4f8099386,Urbain Simons,1900,3500.8,525.12,4025.92
e6888ac9-5df6-4a51-a3ee-0d3adeca0ba2,Milton McLorinan,8788,17276.8,2591.52,19868.32
3e666ba2-bf6a-47a7-83bc-ad78211a9202,Karly Sandlin,4375,8450.8,1267.62,9718.419999999998
941c5915-7206-4447-a63d-93e4dd38488a,Lila Canadas,2402,4504.8,675.72,5180.52
a790db61-0db5-4cca-aa0c-fc1808afe781,Karon Hansmann,2044,3788.8,568.32,4357.12
dc0cbd5c-6c9d-4b87-9162-fec855d04aea,Hagen Roake,6938,13576.8,2036.5199999999998,15613.32
159140a5-95a8-4be7-aadc-1d1c95c4171a,Cherilyn Trenfield,4391,8482.8,1272.4199999999998,9755.22
9d74f499-30d7-447f-bac3-c45688747078,Anya Luscott,3311,6322.8,948.42,7271.22
283b804a-0aad-48ca-9c4c-7e501da16a8a,Kiel Mozzini,2777,5254.8,788.22,6043.02
5089e229-11b1-40ea-abb5-0cc91f33ed4d,Ike Gard,8310,16320.8,2448.12,18768.92
75d6e3cb-fdc5-4139-ad33-5bff2c30256d,Rozelle Skevington,1146,1992.8,298.91999999999996,2291.72
4355d36b-c25f-457a-9fcc-0506cf7e415b,Andreas Morfield,3730,7160.8,1074.12,8234.92
c584a7e2-689a-4dfd-80d5-bd62f2eaa651,Hanni Handrick,2163,4026.8,604.02,4630.82
f230c833-ca96-457a-9610-393432cded8e,Mireielle Bohlsen,6339,12378.8,1856.8199999999997,14235.619999999999
0355b23f-522f-44a6-9a3b-1a9e9d89c3b4,Perri Clawe,8857,17414.8,2612.22,20027.02
80825cfc-b369-48a5-9243-3c57845d2af9,Terrell Penelli,2664,5028.8,754.32,5783.12
